sumber_data,aplikasi,date,username,text,clean_text
playstore,gojek_customer,2018-03-19, Agung Yogaswara , Lots of good features but upgrade go pay just does not work camera to capture id just crop the image at incorrect size rejected submission goes infinity just telling in progress even after the said 24hrs Purchase PLN prepaid deduct balance but no token provided just saying delay and no histor ,lots good features upgrade go pay just work camera capture id just crop image incorrect size rejected submission goes infinity just telling progress even said hrs purchase pln prepaid deduct balance token provided just saying delay histor
playstore,gojek_customer,2018-03-04, Alpha Alkaff , I think version before It more easy And I have a problem with chat and how to find menu for vocer And this new update is unhelpful to me ,think version easy problem chat find menu vocer new update unhelpful
playstore,gojek_customer,2018-03-17, Edwin Elmando , I ve tried topping up GO PAY got a notification top up recieved but when i open the apps my balance is 0 And there is no contact support icon anywhere ,ve tried topping go pay got notification top recieved open apps balance contact icon anywhere
playstore,gojek_customer,2018-03-05, Reza Reflusmen Jr , Gojek gives too much surprises recently From the price hike now the change of interface I want consistency from gojek ,gojek gives much surprises recently price hike change interface want consistency gojek
playstore,gojek_customer,2018-04-17, Rully Madewa , Banyak perbaikan sistem slma memakai Gojek dr 2015 lalu Fitur komplet Harga skr ok Hanya saja lokasi driver selama ditunggu kedatangannya sering telat update Nampak diem aja tahu2 udh nyampe ato malah minta cancel Ukuran app juga makin besar mg2 hp sy msih kuat mengupdate haha Itu saja ,perbaikan sistem slma memakai gojek dr fitur komplet harga skr lokasi driver ditunggu kedatangannya telat update nampak diem udh nyampe ato cancel ukuran app mg hp msih kuat mengupdate
playstore,gojek_customer,2018-03-04, Mahdia Aprilianti , So far so good Cuma sedikit kecewa kenapa program penukaran voucher untuk free 50 000 untuk go food yg dari go points nya di ilangin padahal itu worth it loh Tolong di adain kembali ,far good kecewa program penukaran voucher free go food go points ilangin worth loh tolong adain
playstore,gojek_customer,2018-03-16, Chintya Dwiyanti , Thanks improved so much Udah jarang ada kendala sekarang mah lancar ga ada driver yang macem2 terus jarang ga dapet driver pasti langsung beberapa detik setelah searching langsung dapet Pernah bulan ini 2x dapet driver yang nge acc tapi dia lagi jalan gitu jadi makin jauh jaraknya Kaya grab tuy ,improved much udah jarang kendala mah lancar driver macem jarang dapet driver langsung detik searching langsung dapet dapet driver acc jalan gitu jaraknya kaya grab tuy
playstore,gojek_customer,2018-03-09, Rintaro swd , This app is trully a life saver Since busway is not my kind of transportation gojek is the best ,app trully life saver since busway kind transportation gojek best
playstore,gojek_customer,2018-03-10, Stevanus Apriliyanto , For the love of God tolong kembalikan fitur fine tune posisi penjemputan secara manual Saya sudah sering frustasi karena entah GPS atau app nya yg ngaco posisi saya berada jauh dari posisi sebenarnya dan tidak ada yg bisa saya lakukan untuk membetulkannya Saat menulis review ini app ngotot saya ,love god tolong kembalikan fitur fine tune posisi penjemputan manual frustasi gps app ngaco posisi posisi lakukan membetulkannya menulis review app ngotot
playstore,gojek_customer,2018-03-20, Ranny Soeharsono , Kenapa voucher gocar dan gofood skrg tidak ada yg bagus Kemana itu diskon 50 ribu kalau kita tukar point utk beli voucher gocar dan gofood Kok bknnya lbh baik malah lbh mahal dan pelit Tlg kasih reward utk kita sebagai pelanggan setia dong Saya lihat jg sedikit2 naik itu kalo naik gojek 1000 ,voucher gocar gofood skrg bagus kemana diskon ribu tukar point beli voucher gocar gofood bknnya lbh lbh mahal pelit tlg reward pelanggan setia lihat kalo gojek
playstore,gojek_customer,2018-03-17, Bayu Sutanto , saya top up lewat klikbca 35500 dan saldo tidak bertambah di bca sudah berhasil transfer bagaimana ini gojek sudah mulai mengecewakan dan reply nya juga sama semua untuk semua komplain di google play saya telefon customer service juga gak diterima hanya musik tunggu kemudian putus sendiri ,top klikbca saldo bertambah bca berhasil transfer gojek mengecewakan komplain google play telefon customer service diterima musik tunggu putus
playstore,gojek_customer,2018-03-16, Victor Archie , GoPoint is pointless just like any other point based reward 250 pts for Rp 5000 discount what a joke ,gopoint pointless just like point based reward pts rp discount joke
playstore,gojek_customer,2018-04-09, Pitra Dwirahma Putra , Sudah lebih bagus secara service dan visual Hanya saja aplikasi trsa lbh berat saat mnggunakan dibanding sblmnya Dan terkadang mendapatkan driver yg trlalu jauh dari lokasi saya memesan Kalau bisa tambahkan fitur motor apa yg digunakan driver untuk mempermudah dan mempercepat ketemu dengan dr ,bagus service visual aplikasi trsa lbh berat mnggunakan dibanding sblmnya terkadang driver trlalu lokasi memesan tambahkan fitur motor driver mempermudah mempercepat ketemu dr
playstore,gojek_customer,2018-03-18, Milka Wijanarti , been awhile since I use the app I don t care for the new look just the fact that the new app performance is very slow is upsetting That update is a setback from previous version ,awhile since use app don care new look just fact new app performance slow upsetting update setback previous version
playstore,gojek_customer,2018-03-17, Metha Rezha , APLIKASI nya kurang OK banget semakin kesini top up saldo go pay nyantol dan sekarang makin sering dpt driver go car gak sesuai aplikasi bikin BINGUNG parah banget pas dipake lagi ujan bener2 bikin emosi order tapi dapetnya drivernya jauh banget saya yakin banget gojek pengen tumbuh maju di ,aplikasi banget kesini top saldo go pay nyantol dpt driver go car sesuai aplikasi bikin bingung parah banget pas dipake ujan bener bikin emosi order dapetnya drivernya banget banget gojek pengen tumbuh maju
playstore,gojek_customer,2018-03-06, roberto onggo kusumo , Sangat membantu apabila tidak ada jemputan atau ingin pergi ke suatu lokasi titik jemput akurat dan rrecommended Pernah coba Go Send sama Go Food dan hasilnya memuaskan ,membantu jemputan pergi lokasi titik jemput akurat rrecommended coba go send go food hasilnya memuaskan
playstore,gojek_customer,2018-03-05, Dwimasarga Wirasetya , Tampilan baru menyusahkan I just want to use the app right away and now you ask me to personalize it Pfttt Kedua yang masih diabaikan requestnya Tolong fitur untuk mematikan reminder voucher yang belum digunakan push notification terkait promo dan sebagainya Menurut saya pribadi hal terseb ,tampilan menyusahkan just want use app right away ask personalize pfttt diabaikan requestnya tolong fitur mematikan reminder voucher push notification terkait promo pribadi terseb
playstore,gojek_customer,2018-03-07, Vivy Yunita , Aplikasi nya cukup bagus tp menurut saya lbh bgs lg klu bsa ditambahkan feature history utk searching krn kdg mau cari toko yg sama di gofood tp lupa nama tokonya dan feature utk toko favorite biar g susah cari lg Dan tolong tambahkan fitur rating utk toko krn ada bbrp toko yg krg baik pe ,aplikasi bagus lbh bgs klu bsa feature history searching kdg cari toko gofood lupa nama tokonya feature toko favorite biar susah cari tolong tambahkan fitur rating toko bbrp toko krg pe
playstore,gojek_customer,2018-03-15, Sarah Yunita , Saya pengguna Gojek sejak lama tapi perkembangan belakangan ini justru kurang baik Apps terbaru memang terlihat lebih futuristik tapi justru jadi lamban Harga lebih mahal bahkan untuk gocar sering lebih mahal dari taksi reguler Beberapa voucher hilang misalnya gratis 50K untuk gofood setelah ,pengguna gojek perkembangan apps terbaru futuristik lamban harga mahal gocar mahal taksi reguler voucher hilang gofood
playstore,gojek_customer,2018-03-17, Tri Setyowati , Layanannya gak masalah Okok aja Tampilannya yg sekarang enggak suka lebih suka versi lama Saya tau kualitas gojek bagus driver ramah sopan baik jemput tepat waktu tidak ugal ugalan Pokoknya good service cuma kok rasanya kemahalan Rasanya bukan saya aja yg merasakan keluhan ini ya Mohon p ,layanannya okok tampilannya suka suka versi kualitas gojek bagus driver ramah sopan jemput ugal ugalan pokoknya good service kemahalan merasakan keluhan mohon
playstore,gojek_customer,2018-03-05, A Google user , Tolong Tambahkan Fitur komunikasi Chat untuk penumpang ke Driver biar lebih responsif percuma ada kuota tp kalo ada apa apa harus telpon pake pulsa regular Grab juga baru update tuh keren wkwkw Gw kasih 5 bintang kalo udh update v ,tolong tambahkan fitur komunikasi chat penumpang driver biar responsif kuota kalo telpon pake pulsa regular grab update tuh keren wkwkw gw bintang kalo udh update
playstore,gojek_customer,2018-03-04, Vika Cha , Kok sekarang gabisa buat ngecek harga kayak dulu ya misal aku dilokasi A tapi aku pengen tau kalo ngegocar dari lokasi kota B ke D berapa ribu gitu skrg gabisa ngecek gitu Pdhl sebelum diupdate sllu bisa ngecek harga dulu Trs bisa bantuin tmen mesenin gojek meskipun lokasinya lg ga bareng sm aku ,gabisa ngecek harga kayak dilokasi pengen kalo ngegocar lokasi kota ribu gitu skrg gabisa ngecek gitu pdhl diupdate sllu ngecek harga trs bantuin tmen mesenin gojek lokasinya bareng sm
playstore,gojek_customer,2018-04-12, Wulandari Shabrina , Saya sangat kecewa dengan pelayanan gojek sekarang Sebelumnya go point dapat ditukar dengan free rp 25 000 go food I forget the exact amount sekarang udh ga bisa Barang barang dan kupon yang ada di go point engga setara dengan effort yang dilakukan Kalau begini saya lebih baik pindah ke sebela ,kecewa pelayanan gojek go point ditukar free rp go food forget exact amount udh barang barang kupon go point engga setara effort pindah sebela
playstore,gojek_customer,2018-03-20, Daina Putry Vhinency , Normalin donk tarif gojeg tuh jauh deket 15000 biar gojeg tuh jln lagi kita juga gampang kesana kemari tanpa gojeg local yg tarifnya meluap tarif di turunin jadi 8 rbu gituh bagaimana gak kasian wat pengemudi nya belum pulsa belum bensin juga normalin dong tarif nya biar sama2 enjoy ,normalin donk tarif gojeg tuh deket biar gojeg tuh jln gampang kesana kemari gojeg local tarifnya meluap tarif turunin rbu gituh kasian wat pengemudi pulsa bensin normalin tarif biar enjoy
playstore,gojek_customer,2018-03-09, Iqbal Ir , App ini gede banget makan memory harusnya di split ke bbrp aplikasi HP jadoel jd gk kuat buka apps nya Atau buat gojek lite yg isinya basic aplikasi sj seperti gojek gosend gofood sj Yg lainnya buat aplikasi terpisah atau buat di main app yg byk fitur gendut di main app ,app gede banget makan memory split bbrp aplikasi hp jadoel gk kuat buka apps gojek lite isinya basic aplikasi sj gojek gosend gofood sj aplikasi terpisah main app byk fitur gendut main app
playstore,gojek_customer,2018-03-05, Meutia Nadhilah , The new update is simple and fresh However it doesnt have the internal chat there s a lot of unnecessary things like connect to facebook 7 most fav service on home as well as the internal chat that used to be there to connect faster with drivers without consuming our credits Please please re ,new update simple fresh however doesnt internal chat lot unnecessary things like connect facebook fav service home well internal chat used connect faster drivers without consuming credits please please
playstore,gojek_customer,2018-03-03, Aswin G Sharif , Dipaksa update saat perlu urgent malah harus bikin menu favorit dulu Terpaksa ambil GRAB Oya posisi GPS nya sering ngaco ya gojek kenapa ya ,dipaksa update urgent bikin menu favorit terpaksa ambil grab oya posisi gps ngaco gojek
playstore,gojek_customer,2018-03-26, bunga yuniasari , The previous app before updated on mid of March was easier to use kindly please consider that driver and costumer user within age of 30 50 are need more effort to understand new features new template new color and new appearance I prefer the older version and please do not change again go j ,previous app updated mid march easier use kindly please consider driver costumer user within age need effort understand new features new template new color new appearance prefer older version please change go
playstore,gojek_customer,2018-03-03, Tono Gein , Kemana tombol cancel order nya Salah klik destination lalu saat ingin cancel malah gak ada tombolnya alhasil terpaksa harus pergi ke destination yang salah tersebut karena sistem selalu otomatis mencari driver baru kacau Saya pake gr b dan ub r aja deh sampai tombol ini di fix sama IT go ,kemana tombol cancel order salah destination cancel tombolnya alhasil terpaksa pergi destination salah sistem otomatis mencari driver kacau pake gr ub deh tombol fix go
playstore,gojek_customer,2018-03-19, Pandu Indra Respati , Haloooo aplikasi yg update 2018 ini bikin susah Saya sudah laper skrg malah frustasi dgn pengaturan menunya <d9><d4> <d9><d4> <d9><d4> saya tidak akan buat email ke customer service bikin senewen Kok bisa sih merubah screen malah jd tidak User friendly at all Dan saya lihat bukan hanya saya yg komplain lh ,haloooo aplikasi update bikin susah laper skrg frustasi pengaturan menunya email customer service bikin senewen merubah screen user friendly lihat komplain
playstore,gojek_customer,2018-03-13, Abi Rafdi Wilhan , Tambahkan fitur chat dengan driver sehingga tidak perlu repot sms dan telefon untuk menghubungi drivernya Kadang customer atau driver sendiri tidak ada pulsa untuk sms atau telefon sehingga susah kontak dengan drivernya Mohon ditanggapi masukannya ,tambahkan fitur chat driver repot sms telefon menghubungi drivernya kadang customer driver pulsa sms telefon susah kontak drivernya mohon ditanggapi masukannya
playstore,gojek_customer,2018-03-04, Lenny Lestary , It would be much more better if Go Jek provides an anonymous local number so the drivers and riders private actual numbers are not shared ,much better go jek provides anonymous local number drivers riders private actual numbers shared
playstore,gojek_customer,2018-03-24, Fitri Annisa , Tolong kasih fitur biar kita bisa kasih rating review restoran yang pernah kita pesen di gofood Terkadang yang ada di best seller itu setelah saya pesen makanannya rasanya nggak terlalu enak ato b aja Kayaknya best seller cuma gara2 orang pada penasaran ,tolong fitur biar rating review restoran pesen gofood terkadang best seller pesen makanannya nggak enak ato kayaknya best seller gara orang penasaran
