aaminn
ad
ada
adalah
adanya
adapun
adlah
adlh
ag
agak
agaknya
agar
ah
ahh
ahhh
aj
aja
ajah
aje
akan
akankah
akhir
akhiri
akhirnya
aku
akulah
al
amat
amatlah
amp
anda
andalah
antar
antara
antaranya
anu
ap
apa
apaan
apabila
apakah
apalagi
apalagii
apatah
artinya
asal
asalkan
atas
atau
ataukah
ataupun
au
awal
awalnya
ayo
ayoo
ba
babibu
bae
bagai
bagaikan
bagaimana
bagaimanakah
bagaimanapun
bagi
bagian
bahkan
bahwa
bahwasanya
baik
bakal
bakalan
balik
banyak
bapak
baru
bawah
beberapa
begini
beginian
beginikah
beginilah
begitu
begitukah
begitulah
begitupun
bekerja
belakang
belakangan
belum
belumlah
benar
benarkah
benarlah
berada
berakhir
berakhirlah
berakhirnya
berapa
berapakah
berapalah
berapapun
berarti
berawal
berbagai
berdatangan
beri
berikan
berikut
berikutnya
berjumlah
berkali-kali
berkata
berkehendak
berkeinginan
berkenaan
berlainan
berlalu
berlangsung
berlebihan
bermacam
bermacam-macam
bermaksud
bermula
bersama
bersama-sama
bersiap
bersiap-siap
bertanya
bertanya-tanya
berturut
berturut-turut
bertutur
berujar
berupa
besar
betul
betulkah
bg
bhw
biasa
biasanya
bila
bilakah
bisa
bisakah
boleh
bolehkah
bolehlah
bpk
buat
buk
bukan
bukankah
bukanlah
bukannya
bulan
bung
bwt
cara
caranya
cc
cc
cho
ciee
cieee
cukup
cukupkah
cukuplah
cuma
dahulu
dalam
dan
dapat
dari
daripada
datang
dd
dekat
demi
demikian
demikianlah
dengan
depan
des
dg
dgn
dhe
di
dia
diakhiri
diakhirinya
dialah
diantara
diantaranya
diberi
diberikan
diberikannya
dibuat
dibuatnya
didapat
didatangkan
digunakan
diibaratkan
diibaratkannya
diingat
diingatkan
diinginkan
dijawab
dijelaskan
dijelaskannya
dikarenakan
dikatakan
dikatakannya
dikerjakan
diketahui
diketahuinya
dikira
dilakukan
dilalui
dilihat
dimaksud
dimaksudkan
dimaksudkannya
dimaksudnya
diminta
dimintai
dimisalkan
dimulai
dimulailah
dimulainya
dimungkinkan
dini
dipastikan
diperbuat
diperbuatnya
dipergunakan
diperkirakan
diperlihatkan
diperlukan
diperlukannya
dipersoalkan
dipertanyakan
dipunyai
diri
dirinya
disampaikan
disebut
disebutkan
disebutkannya
disini
disinilah
ditambahkan
ditandaskan
ditanya
ditanyai
ditanyakan
ditegaskan
ditujukan
ditunjuk
ditunjuki
ditunjukkan
ditunjukkannya
ditunjuknya
dituturkan
dituturkannya
diucapkan
diucapkannya
diungkapkan
dlm
dn
dong
dua
dulu
elu
empat
enggak
enggaknya
entah
entahlah
ga
gak
gih
gk
gt
gua
gue
guna
gunakan
haaa
hal
hampir
hanya
hanyalah
hari
harus
haruslah
harusnya
hehe
hehehehe
hendak
hendaklah
hendaknya
hingga
hmmm
ia
ialah
ibarat
ibaratkan
ibaratnya
ibu
iki
ikut
ingat
ingat-ingat
ingin
inginkah
inginkan
ini
inikah
inilah
itu
itukah
itulah
iyaaa
jadi
jadilah
jadinya
jangan
jangankan
janganlah
jauh
jawab
jawaban
jawabnya
jd
jelas
jelaskan
jelaslah
jelasnya
jg
jika
jikalau
jleb
juga
jumlah
jumlahnya
justru
kala
kalau
kalaulah
kalaupun
kalian
kami
kamilah
kamu
kamulah
kan
kapan
kapankah
kapanpun
karena
karenanya
kasus
kata
katakan
katakanlah
katanya
ke
keadaan
kebetulan
kecil
kedua
keduanya
