user,tweets
molana07,"@ILC_tvone 
Boss mau maju kok di cekal .Emang ojek pgklan byar ijin operasi ? #negeribodoh #saveojekonline
@jokowi @KRMTRoySuryo"
abeelyaza,"4 cerita ojek online yang viral ditahun 2017 #saveojekonline  menurutmu , km lbh suka cerita yg mana @Kesya_Kimberley @Paijo_Gemes"
indratopa,Renungan untuk kita semua . #SaveOjekOnline #gojekindonesia . @ Bandung
indratopa,Renungan untuk kita semua . #SaveOjekOnline . @ Bandung
deddot05,ini draft pasti yang bikin orang2 yg tidak siap bersaing secara sehat #savetransportasionline #saveojekonline cc @yudi_mas @HelgaWorottjan
Vita_lchow,Sensi banget sih ni perwali . *aneh #savetransportasionline #saveojekonline
andiksujitno,"Busyett nih perwali , woyy ,,, driver ojek online itu warga anda juga pak , napa kok keliatan banget keberpihakan anda sama organda #saveojekonline"
Indah_GDS,"Nggak habis pikir dgn perwali yg dibuat oleh walkot balikpapan @PemkotBPN @Dishub_Bpn kalau semua tempat dilarang , lalu , ojek online ngambil penumpang dimana ? Kuburan ? ini memihak pada organda namanya . @kaltimpost @deddot05 #saveojekonline #savetransportasionline"
abeelyaza,"Jangan hanya kemauan opang yg didengerin , tapi kemauan ojol juga dunk . @halus24 @DishubDKI_JKT  #saveojekonline"
abeelyaza,"Metromoni tabrak sejumlah motor , 1 orang tewas dan 3 korban luka -luka . Duhh #saveojekonline @Paijo_Gemes"
RahyaMaya,Ya jelas wajar para driver ojek online protes peraturan ini ... Kenapa sih menyusahkan para driver ojek online ... #SaveOjekOnline @DriverGojekPro @gojekmalang @DramaGojek @RiderPetualang @GoTotheJek @GojekPalembang
abeelyaza,"Bang @BimaAryaS kenapa ada berpihakan begini , apa bedanya angkot dengan ojek online , napa cuma ojek online yg disuruh bayar klo angkot nggak , #saveojekonline @PemkotaBogor @Kesya_Kimberley @Grace_Ayudia"
abeelyaza,"Aseek , bntar lagi pengguna Go -Jek bisa menikmati layanan musik gratis dari joox . kurang apa coba naik gojek ? #saveojekonline @Grace_Ayudia"
tatha_norman,wahh lek ngene wes gag onok orderan go food KFC dan McD ..#saveojekonline
abeelyaza,"Wah , kacau nih driver grab , demi perempuan lain rela meninggalkan anak istri . @GrabId tolong nih ditindaklanjuti . #saveojekonline #hapusgrab @Paijo_Gemes @Grace_Ayudia @KomnasPerempuan"
Indah_GDS,"Duh lalala ,, cemburu dan menduga jadi selingkuhan istrinya , pria ini tega mengirimi bom @MitraGojek1 untuk para driver ojek online hati2 klo terima orderan go -send ya  #saveojekonline @Kesya_Kimberley"
Indah_GDS,"Hello para driver ojek online , hati2 ya klo berkendara , jgn sampai apa yg dialami oleh driver ojol Semarang terulang lagi #saveojekonline utamakan keselamatan  @Paijo_Gemes @infosemarang_id"
abeelyaza,"Salut untuk driver ojek online , yg tetap membantu angkot mogok , perselisihan diantara mereka tak membuat driver ojek online tdk bersimpati dgn apa yg menimpa driver angkot . #saveojekonline  @infosemarang @Paijo_Gemes"
AnnisaSeptiayu,"Heran deh aku , masih saja ada aksi intimidasi dan persekusi ke driver ojek online di Semarang ... #SaveOjekOnline @KotaSMG @ganjarpranowo @hendrarprihadi @provjateng @yunantyo2 @DamarJuniarto @alvinlie21 @masinusina @SovietFoxtrot"
Indah_GDS,"Nih tanggapan warga medan saat angkot mogok @organda_id @shafruhan #saveojekonline  tak perlulah kseringan demo , bisa mematikan rezeki sendiri @Kesya_Kimberley"
