'April 16, 2018';'naega josh';'After the new update it becomes very laggy and i have trouble ordering drivers';;;;
'April 17, 2018';'Heru DW';'Sejak update terakhir kenapa jd sering lelet dan error ya';;;;
'April 16, 2018';'Sella Destika';'itu yang make tuyul nyusahin penumpang aja, di maps drivernya udah deket, aslinya dateng lama banget, jadi telat kan';;;;
'April 17, 2018';'Abigail Lea Marvelin Purnomo';'tolong d perbaiki lagi,erornya lama bgt,gbsa pesen gofood,trs naik nya jauh bgt buat ongkir gofood,trs suka berubah ubah harganya';;;;
'April 18, 2018';'Dania Putri';'App errorâ€” tau tau logout sendiri. Mau login pake verifikasi sms tapi ditungguin gaada sms masuk sama sekali-_- tau tau ada sekitar 4 driver yang ngehubungin saya nanya posisi meanwhile saya ga mesen sama sekali karena emang app ke logout -_-';;;;
'April 17, 2018';'nabila saida Herdiana';'Beberapa hari ini gojek ga bisa digunakan. Setiap hari pakai gojek dan baru kali ini eror. Ga bisa order bahkan pas di klik go-ride cuma loading aja. Please fix the problem as soon as possible.';;;;
'April 18, 2018';'jihan amalia';'Setelah di update, error terus.. bahkan saya dapat gosend yg hp mati, dan mgkn dia ga dapat notif adanya pesanan gosend sehongga dia ga menghubungi dan pergi makin jauh.. dan ga bisa di cancel karena tombol utk cancel pun gak ada!!!';;;;
'April 16, 2018';'Steffanie Anggie';'Ssemakin ksini app semakin sering error, barusan aja ak play token 17 kali transaksi tp poinnya ga masuk masuk.. Plis d perbaiki';;;;
'April 18, 2018';'hohow id';'Very good app, but it would be more interesting if i could see my friends history especially in go-food so i can know what is my friends often to order so it can be a great recommendation for me too. Thank you';;;;
'April 18, 2018';'naima amaliah';'Useless app, my account has been blocked 5 times since I did cancel more than thrice weeks ago. I've called costumer service each time, they solved it but the problem keeps occurs after every single order. Wasting my time, wasting my money each time I called cs. Damn it, you really enraged me.';;;;
'April 17, 2018';'Jourdy Limdrian';'Say ketemu driver namanya Juwandi tpi waktu saya mau saya tnyakan posisi sya telpon 7x gk dijawab';;;;
'April 19, 2018';'Olly Rusmawan';'Eventhough this app was useful for daily transportation but sometime GOJEK'S MAP was annoying since it couldn't find perfect spot like Google map. Please fix it.';;;;
'April 16, 2018';'Sandy Angga Hikmata';'Apakah ada kriteria khusus untuk masuk dalam ranking top Go-Point earner? Poin saya selalu sekitar 5.000 s.d 6000 tapi nama saya tidak pernah tertulis dalam daily rank...';;;;
'April 16, 2018';'Charlotte Butcher';'Makin kesini app nya sering banget error';;;;
'April 19, 2018';'Meifrita Putri';'Ini error apa gimana sih, udah top up go pay, mau pakai gopay untuk go-ride dan go-food ga bisa, sekali nya make payment cash gpp deh, ehh titik penjemputan ga jelas, trus suka numpuk apply go-ride, sampe ada 3 driver mau jemput saya. Tolong dibenerin ya gojek fasilitas aplikasi nya. Terima kasi...;;;;
'April 19, 2018';'Kurnia Aliyanti';'Sering banget ada masalah. Double booking driver, map dengan lokasi driver tidak sama. go pay server sering error .';;;;
'April 19, 2018';'Rizky Ginardy';'Parah, setiap hari error sekarang, go-pay server busy. Duit gw wooyy jangan diembat juga!';;;;
'April 17, 2018';'Aulia Fitria';'Berulang kali login minta verifikasi, baru nulis alamat udah session expired. Trus tiba2 keblokir karena keseringan failed login! Padahal butuh urgent! Hellooooo???!!!!';;;;
'April 19, 2018';'Muhammad Rifky';'Thr apps still unstable when it comes to peak hour. And also... the 'gopay server is busy' frequently appeared. It's really unstable.....';;;;
'April 14, 2018';'Rena Mardita';'Adanya gojek sangat memudahkan segala urusan saya ketika sedang sakit. Terima kasih _Ÿ‘Œ';;;;
'April 16, 2018';'Yusuf Andana';'kok abangnya suka kelewatan 5 meteran ya dari rumah, malah kerumah Tetangga.';;;;
'April 19, 2018';'made prajna anugrah widhiarta';'the app is not using fastest route to the destination... take more time and money, pelase fix the bug';;;;
