V1;V2;V3;V4;V5;V6;V7;V8;V9
30-Dec-17;11.21 PM;@galihnyaryu;pic.twitter.com/ISC7KAbcUD;FALSE;1;1;;/galihnyaryu/status/947367007808143360
30-Dec-17;11.23 PM;@galihnyaryu;itu adalah bukti bahwa order tersebut saya cancel  tapi dari pihak grab tidak bisa membuktikan apa2 atas tuduhan nya grab hanya bicara kata tapi saya bicara data dan fakta;FALSE;2;3;;/galihnyaryu/status/947367492053229568
26-Dec-17;7.19 AM;@ihaann;"Barusan nyoba bandingin Grabcar, Gocar, UberX. 
Dan Gocar nya yg beda jauh. 
Rutenya yg bener emang gimana kah? Bener yg di Gocar atau yg di Uber?pic.twitter.com/qWv2X2bHyl";TRUE;8;1;;/ihaann/status/945675362553303040
26-Dec-17;7.53 AM;@dwgstn;"Bapak gojek: ""pasti mbaknya belum mandi"" 
Me: ""yaiyalah Pakkk :'))), bapak baru datang ke pangkalan pasti udah mandi ya?"" 
Bapak gojek: ""lho ya sudahlah, ga cium nih saya wangi?? Wkwkwk"" 
Me: ""hahahaha *emang beneran wangi* :))))) "" 

@CeritaTranspOL";FALSE;;2;2;/dwgstn/status/945684058964504577
26-Dec-17;9.20 AM;@hakimsrg;"Mengapa di GoCar, selisih pembayaran penumpang yang GoPay dan Cash, dibebankan kepada Driver?

Ada yang tau?

@CeritaTranspOL @gojekindonesia";FALSE;4;3;;/hakimsrg/status/945706001164009475
26-Dec-17;10.54 AM;@dituneik;Bener2 @GrabID ini keren, perjalanan gw cmn 1000 rupiah @CeritaTranspOLpic.twitter.com/T2Vscp9JOT;FALSE;4;1;1;/dituneik/status/945729454570999810
26-Dec-17;7.50 AM;@dwgstn;"Ngga pernah komentar apapun ke driver gojek, sekalinya ngekomen...
@CeritaTranspOLpic.twitter.com/KXMsi4RHaT";FALSE;3;2;2;/dwgstn/status/945683242660671488
26-Dec-17;2.47 PM;@dwirahmania22;@CeritaTranspOL buat semua penumpang ojol, kalo kalian gak bisa buka lapangan pekerjaan buat org lain, jgn kalian matiin lapangan pekerjaan org lain. sekesel-keselnya selama dia masih sopan gak usah lah kasih bintang dibawah 5;FALSE;;8;2;/dwirahmania22/status/945788303952842752
27-Dec-17;3.10 AM;@dinikopi;WAH PARA UBER GRABCAR GOCAR @CeritaTranspOL  HARUS DICIDUUUK! https://twitter.com/nrwtev/status/945915726824484865 …;FALSE;;5;;/dinikopi/status/945975208346710016
27-Dec-17;4.47 AM;@Driver2292;"@CeritaTranspOL 
Episode Penumpang kekinian
 : Pak jemput di Zahra Farpum
 : *""'@#$pic.twitter.com/oJrpDLFj8p";FALSE;;1;1;/Driver2292/status/945999520403406848
26-Dec-17;7.23 AM;@yonpurba;Para Pengguna Grab ada baiknya cek tgl kadaluarsa rewards pointnya. Soalnya di Grab rewards point expire date berlaku hnya selama periode rewards. Melebihi periode rewards maka akan expired. Berbeda dgn Go-Points yg diperpanjang setahun setelah penggunaan trakhir. Segera tukarkanpic.twitter.com/n6WIXlKHEv;FALSE;3;23;11;/yonpurba/status/945676423250849792
26-Dec-17;6.43 AM;@titiensumarni;ya Allah td driver ojek curhat, krn tiba2 ratingnya turun, pdhl menurut dia, dia tuh selalu baik dn merendah sm penumpang, sampe nangis dia ,krn takut disuspend.... cc @CeritaTranspOL;FALSE;1;8;4;/titiensumarni/status/945666481970339840
19-Dec-17;7.42 PM;@yeahmahasiswa;Perlunya sopan santun dalam menuliskan pesan kepada dosen.pic.twitter.com/XjldABVWYP;FALSE;211;5.5K;1.9K;/yeahmahasiswa/status/943325679214501888
20-Dec-17;8.40 AM;@LeelinKarlin;"Abis dpt driver uber..

Me : ""Pak Tujuh ?""
Bapake : "" iya neng, belum delapan..""
pic.twitter.com/dJOMXv09s8";TRUE;1;30;10;/LeelinKarlin/status/943521535016366080
