date,user,tweets,is_duplicate,replying,rep_count,ret_count,fav_count,user_all,user_count,hashtag,tag_count,link,clean_text,word_count
2014-06-16,@IMdSuryaDharma,"Smg masyarakat awam mengetahui konspirasi busuk dibalik reklamasi tanjung benoa ini, tdk hny trbawa opini publik semata #BaliTolakReklamasi",FALSE,False,NA,,NA,@IMdSuryaDharma ,2,#BaliTolakReklamasi,1,/IMdSuryaDharma/status/478688217789517824,smg masyarakat awam konspirasi busuk dibalik tanjung tdk hny trbawa opini publik,12
2014-06-16,@RRA_P,"Rumah keluarga di suwung terancam bahaya, harus Lawan !!!
#BatalkanPerpres51th2014 #BaliTolakReklamasi 
Lawan !!!",FALSE,False,NA,,NA,@RRA_P ,2,"#BatalkanPerpresth, #BaliTolakReklamasi",2,/RRA_P/status/478688217009364992,rumah keluarga suwung terancam bahaya lawan lawan,7
2014-06-16,@IMdSuryaDharma,"Apakah kita hanya mengatakan ""iya"" atau ""tidak"", sebab dibalik persoalan ini ada konspirasi busuk para elit #BaliTolakReklamasi",FALSE,False,NA,,NA,@IMdSuryaDharma ,2,#BaliTolakReklamasi,1,/IMdSuryaDharma/status/478687761835118592,iya dibalik konspirasi busuk elit,5
2014-06-16,@RRA_P,"#BatalkanPerpres51th2014 #BaliTolakReklamasi
#ProtectBali
#ProtectSuwungBenoaSanur<e2><80><a6> http://instagram.com/p/pUvwUhD2nG/<c2><a0>",FALSE,False,NA,,NA,@RRA_P ,2,"#BatalkanPerpresth, #BaliTolakReklamasi, #ProtectBali, #ProtectSuwungBenoaSanur",4,/RRA_P/status/478687543118921728,,0
2014-06-16,@IMdSuryaDharma,Semakin mendekati hari pencoblosan semakin deras persoalan yang dihadapi bangsa ini semoga tidak ada yg dipolitisasi #BaliTolakReklamasi,FALSE,False,NA,,NA,@IMdSuryaDharma ,2,#BaliTolakReklamasi,1,/IMdSuryaDharma/status/478687322737635328,mendekati pencoblosan deras dihadapi bangsa semoga dipolitisasi,7
2014-06-16,@outsider_bukit,Wake up n let's fight for our land today!! #BaliTolakReklamasi,FALSE,False,NA,1,NA,@outsider_bukit ,2,#BaliTolakReklamasi,1,/outsider_bukit/status/478687259462365184,wake lets fight land today,5
2014-06-16,@yogixambara,Apa yg akan kalian lakukan sebentar lagi ? @forbali13. #BaliTolakReklamasi #BatalkanPerpres51th2014,FALSE,False,NA,,NA,@yogixambara @forbali,2,"#BaliTolakReklamasi, #BatalkanPerpresth",2,/yogixambara/status/478686422472224769,lakukan sebentar,2
2014-06-16,@IMdSuryaDharma,Aku ingin menjadi oak yg menantang angin - soe hok gie #BaliTolakReklamasi #BatalkanPerpres51th2014,FALSE,False,NA,,NA,@IMdSuryaDharma ,2,"#BaliTolakReklamasi, #BatalkanPerpresth",2,/IMdSuryaDharma/status/478686126845091840,oak menantang angin soe hok gie,6
2014-06-16,@IMdSuryaDharma,Rahajeng semeng :) #BatalkanPerpresNo51thn2014 #BaliTolakReklamasi,FALSE,False,NA,,NA,@IMdSuryaDharma ,2,"#BatalkanPerpresNothn, #BaliTolakReklamasi",2,/IMdSuryaDharma/status/478685662581751809,rahajeng semeng,2
2014-06-16,@RRA_P,"#BatalkanPerpres51th2014 #BaliTolakReklamasi 
Lawan !!! [pic] <e2><80><94> https://path.com/p/2jjMXN<c2><a0>",FALSE,False,NA,,NA,@RRA_P ,2,"#BatalkanPerpresth, #BaliTolakReklamasi",2,/RRA_P/status/478685164734664704,lawan,1
2014-06-16,@RRA_P,"#BatalkanPerpres51th2014 #BaliTolakReklamasi 
Lawan !!! <e2><99><ab> Punk Hari Ini by Superman Is Dead <e2><80><94> https://path.com/p/1yJsSG<c2><a0>",FALSE,False,NA,,NA,@RRA_P ,2,"#BatalkanPerpresth, #BaliTolakReklamasi",2,/RRA_P/status/478684799859580928,lawan punk superman dead,4
2014-06-16,@aveiramusic,"Yuk aahh ikutan ,sampai ketemu ntar teman2 yg peduli dg bali #BatalkanPerpres51th2014 #BaliTolakReklamasi @forbali13pic.twitter.com/YUIY4HvQuf",FALSE,False,2,35,3,@aveiramusic @forbali,2,"#BatalkanPerpresth, #BaliTolakReklamasi",2,/aveiramusic/status/478684643135201280,aahh ikutan ketemu ntar teman peduli,6
2014-06-16,@Tegar13Pratama,Lawan apa yg harus dilawan! Jgn hnya jadi penikmat alam saja. @forbali13 #BaliTolakReklamasi #BatalkanPerpres51th2014pic.twitter.com/AuHhBRnV1z,FALSE,False,NA,7,NA,@Tegar13Pratama @forbali,2,"#BaliTolakReklamasi, #BatalkanPerpresth",2,/Tegar13Pratama/status/478684572457005056,lawan dilawan hnya penikmat alam,5
2014-06-16,@bobbyalcoholic,Selamat pagi mari bersatu padu hari ini turun ke jalan #BatalkanPerpres51th2014 satukan suara kita #BaliTolakReklamasi ! Lawan,FALSE,False,NA,1,NA,@bobbyalcoholic ,2,"#BatalkanPerpresth, #BaliTolakReklamasi",2,/bobbyalcoholic/status/478682204160008192,bersatu padu turun jalan satukan suara lawan,7
2014-06-16,@bagonk_jrx,"Selamat pagi pak tani dan bu tani.
Jangan lupa #LAWAN!!!
#BatalkanPerpres51th2014
#BaliTolakReklamasi !!!!",FALSE,False,NA,,NA,@bagonk_jrx ,2,"#LAWAN, #BatalkanPerpresth, #BaliTolakReklamasi",3,/bagonk_jrx/status/478682143833333761,tani bu tani lupa,4
2014-06-16,@bagvsdipta,"Selamat pagi, intinya #BaliTolakReklamasi , GAK milih pemimpin yg koalisinya ada koruptor dana haji - impor sapi - dalang lumpur lapindo.",FALSE,False,NA,,NA,@bagvsdipta ,2,#BaliTolakReklamasi,1,/bagvsdipta/status/478681213549297664,intinya milih pemimpin koalisinya koruptor dana haji impor sapi dalang lumpur lapindo,12
2014-06-16,@kimalghozali,"perjuangan adalah pelaksanaan
kata-kata.. (WS Rendra)
Yuk kita turun ke jalan.. #BaliTolakReklamasi",FALSE,False,NA,,NA,@kimalghozali ,2,#BaliTolakReklamasi,1,/kimalghozali/status/478680861164834816,perjuangan pelaksanaan katakata ws rendra turun jalan,7
2014-06-16,@yudhispurnomo,terus melawan saudaraku! @JRX_SID @baliekarock @BOBBYBIKUL @forbali13 saya bagian dr osd medan #BaliTolakReklamasi pic.twitter.com/CQwtW4mq9a,FALSE,False,NA,5,NA,"@yudhispurnomo @JRX_SID, @baliekarock, @BOBBYBIKUL, @forbali",5,#BaliTolakReklamasi,1,/yudhispurnomo/status/478677161608351744,melawan saudaraku dr osd medan,5
2014-06-16,@Dimas__Rendy,"""@xRMBLx: Selamat pagi!! Mari bersiap untuk aksi turun ke jalan hari ini. #BatalkanPerpres51th2014 #BaliTolakReklamasi http://t./QsSsIbkSHk""",FALSE,False,NA,,NA,@Dimas__Rendy @xRMBLx,2,"#BatalkanPerpresth, #BaliTolakReklamasi",2,/Dimas__Rendy/status/478675459400429568,aksi turun jalan,3
2014-06-16,@JA_Pratama,Selamat pagi! #KerenTanpaRokok #BaliTolakReklamasi,FALSE,False,NA,,NA,@JA_Pratama ,2,"#KerenTanpaRokok, #BaliTolakReklamasi",2,/JA_Pratama/status/478674069940752386,,0
2014-06-16,@ERX_BASTARD,"RT""@SulyzWingko: Semoga hari ini berjalan lancar @forbali13 @JRX_SID semangat #BaliTolakReklamasi #BatalkanPerpres51th2014 *Svaha""",FALSE,False,NA,,NA,"@ERX_BASTARD @SulyzWingko, @forbali, @JRX_SID",4,"#BaliTolakReklamasi, #BatalkanPerpresth",2,/ERX_BASTARD/status/478672470640041985,semoga berjalan lancar semangat,4
2014-06-16,@SulyzWingko,Semoga hari ini berjalan lancar @forbali13 @JRX_SID semangat #BaliTolakReklamasi #BatalkanPerpres51th2014 *Svaha,FALSE,False,NA,1,NA,"@SulyzWingko @forbali, @JRX_SID",3,"#BaliTolakReklamasi, #BatalkanPerpresth",2,/SulyzWingko/status/478670986548875264,semoga berjalan lancar semangat,4
2014-06-16,@BagasHistorias,Prepare to Renon #BatalkanPerpres51th2014 #BaliTolakReklamasi,FALSE,False,NA,1,NA,@BagasHistorias ,2,"#BatalkanPerpresth, #BaliTolakReklamasi",2,/BagasHistorias/status/478669902262185984,prepare renon,2
2014-06-16,@ifthonkamil,"Pagi, sarapan, mandi, siap"" aksi turun ke jalann #BatalkanPerpres51th2014 #BaliTolakReklamasi #KamiTidakTakut @xRMBLx @forbali13 @JRX_SID",FALSE,False,NA,16,1,"@ifthonkamil @xRMBLx, @forbali, @JRX_SID",4,"#BatalkanPerpresth, #BaliTolakReklamasi, #KamiTidakTakut",3,/ifthonkamil/status/478661705006718976,sarapan mandi aksi turun jalann,5
