author;message_short;date;commit;weekday;month;monthday;time;year;message;left_parent;right_parent;n_parents
eppofahmi;rename;2018-04-19T05:06:36Z;8fbf3ee;Thu;Apr;19;05.06.36;2018;rename;e7495c32adbf259964b4b74df119d4ee7cbd5a4d;NA;1
eppofahmi;explore 3 - to 4;2018-04-19T06:55:21Z;8503c5f;Thu;Apr;19;06.55.21;2018;explore 3 - to 4;8fbf3ee80f510aa863ce6c5b83a8f3f810ddd573;NA;1
eppofahmi;wrangling;2018-04-21T00:26:33Z;b7ca29c;Sat;Apr;21;00.26.33;2018;wrangling;8503c5fe6c42cd10469adaf053c18d2b4012cb56;NA;1
eppofahmi;change file;2018-04-21T10:38:11Z;75e32cf;Sat;Apr;21;10.38.11;2018;change file;b7ca29c1c03e91787395aec566a2da698e4af283;NA;1
eppofahmi;add some doc;2018-04-21T10:39:23Z;f667604;Sat;Apr;21;10.39.23;2018;add some doc;75e32cf8028d5409dc180a7c71a9efac8ba8ce76;NA;1
eppofahmi;del tweet wrangling;2018-04-21T10:42:40Z;600e0e7;Sat;Apr;21;10.42.40;2018;del tweet wrangling;f667604cab77a29fdcf80966131fc706ac86b977;NA;1
eppofahmi;scrapper del;2018-04-21T10:44:08Z;eb8e5bf;Sat;Apr;21;10.44.08;2018;scrapper del;600e0e764413b5cb40ef578fc79ae848dcd4b2a4;NA;1
eppofahmi;skrip untuk scrappin;2018-04-21T10:45:33Z;62ec12e;Sat;Apr;21;10.45.33;2018;skrip untuk scrapping daftar petisi;eb8e5bfce768f5e2140ac1bdeac2f857ba324c39;NA;1
eppofahmi;deskripsi proyek;2018-04-21T11:00:24Z;00a6509;Sat;Apr;21;11.00.24;2018;deskripsi proyek;62ec12e3e87b05f7be4538c3e3d75715e66597ba;NA;1
eppofahmi;del old description;2018-04-21T11:01:46Z;3460668;Sat;Apr;21;11.01.46;2018;del old description;00a650916c13ab16a047e8e68576d931c67d0c60;NA;1
eppofahmi;rename;2018-04-21T11:04:18Z;ae2c234;Sat;Apr;21;11.04.18;2018;rename;3460668c82f1ae369553d468f32236f5f3ab454d;NA;1
eppofahmi;desc;2018-04-21T11:04:43Z;fce71e9;Sat;Apr;21;11.04.43;2018;desc;ae2c234eb9b7032ec749ae70e9c12d5eae3a5a2c;NA;1
eppofahmi;add project descript;2018-04-21T11:18:31Z;188d788;Sat;Apr;21;11.18.31;2018;add project description;fce71e903c1ba5a11ab231b509f4973ca6652cc4;NA;1
eppofahmi;add;2018-04-21T11:18:55Z;86ea40b;Sat;Apr;21;11.18.55;2018;add;188d7889c8d78759c804535c8c50b021da43e6c3;NA;1
eppofahmi;wrangling playstore ;2018-04-21T14:21:33Z;95750b2;Sat;Apr;21;14.21.33;2018;wrangling playstore data;86ea40b9638bd987eb75a57b8fd8a9881112634f;NA;1
eppofahmi;wrangling playstore;2018-04-21T14:59:16Z;b3c66f9;Sat;Apr;21;14.59.16;2018;wrangling playstore;95750b278ea2a42a5913f99c5f8335951f7ab503;NA;1
eppofahmi;add source identity ;2018-04-21T15:29:15Z;03a5e27;Sat;Apr;21;15.29.15;2018;add source identity and query parameters;b3c66f93d4dd1c12a2908158dd738c3649639296;NA;1
eppofahmi;rename;2018-04-21T15:52:15Z;908639b;Sat;Apr;21;15.52.15;2018;rename;03a5e27489ff13b7e6f58129fb1f3bcc25471f04;NA;1
eppofahmi;bali not for sale;2018-04-21T15:53:32Z;e2664c7;Sat;Apr;21;15.53.32;2018;bali not for sale;908639bd879128a18f4777f8e96c1f9e7d907cc2;NA;1
eppofahmi;new data source;2018-04-21T16:19:44Z;44a2471;Sat;Apr;21;16.19.44;2018;new data source;e2664c7cc339da90f938e3050d8f39d56443fad1;NA;1
eppofahmi;keterangan kolom;2018-04-21T16:43:29Z;d814579;Sat;Apr;21;16.43.29;2018;keterangan kolom;44a2471f66b6ccd08ecee025afc8e89aed66241e;NA;1
eppofahmi;nama kolom;2018-04-21T16:51:04Z;5bd8507;Sat;Apr;21;16.51.04;2018;nama kolom;d814579fe181704b051826034df7527d29a32851;NA;1
Ujang Fahmi;keterangan sudah ata;2018-04-21T16:59:15Z;101eaed;Sat;Apr;21;16.59.15;2018;keterangan sudah atau belum;5bd8507b93a3dc87f4472b77b91f2d34b19d5a49;NA;1
eppofahmi;delete reset;2018-04-21T17:03:46Z;8b5f926;Sat;Apr;21;17.03.46;2018;delete reset;5bd8507b93a3dc87f4472b77b91f2d34b19d5a49;NA;1
eppofahmi;Merge branch 'master;2018-04-21T17:04:10Z;772f248;Sat;Apr;21;17.04.10;2018;Merge branch 'master' of github.com:eppofahmi/virtualCitizens;8b5f92618461b5eba93f1ab5222b904770762608;101eaed6e5f40f2f5d22e4074aadc4078b4111ad;2
eppofahmi;okey;2018-04-21T17:04:50Z;0d853fb;Sat;Apr;21;17.04.50;2018;okey;772f248b6852f6df32c5186e9e523f14318d8183;NA;1
eppofahmi;daftar petisi;2018-04-21T17:24:00Z;8ef6128;Sat;Apr;21;17.24.00;2018;daftar petisi;0d853fb18d9c589691fe3a17b6807b317138db6b;NA;1
eppofahmi;cleaning scrap data;2018-04-21T22:01:15Z;b773298;Sat;Apr;21;22.01.15;2018;cleaning scrap data;8ef61288f5666ee7958eea6389ddb861c868ffa7;NA;1
Ujang Fahmi;Update Description p;2018-04-21T23:02:56Z;53b1ac7;Sat;Apr;21;23.02.56;2018;Update Description proj-2;b7732980dd058d77fd4060a4306f235b1de9fe67;NA;1
Ujang Fahmi;Update Description p;2018-04-21T23:17:06Z;93b9d72;Sat;Apr;21;23.17.06;2018;Update Description proj-3;53b1ac76be08140d073bcafa7d3734c26f593dbf;NA;1
Ujang Fahmi;Update Description p;2018-04-21T23:21:25Z;df57339;Sat;Apr;21;23.21.25;2018;Update Description proj-2;93b9d7255e5f31c78a2812e7901f7197a07847d0;NA;1
eppofahmi;del;2018-04-22T05:23:57Z;894c17b;Sun;Apr;22;05.23.57;2018;del;df573395cacb424a0dffbb120bdbb6673c679c7e;NA;1
eppofahmi;wrangling twit;2018-04-22T05:39:00Z;1c6db8a;Sun;Apr;22;05.39.00;2018;wrangling twit;894c17b6f47e5e91e305217d874b51f846b5f2ba;NA;1
eppofahmi;new data wrangling;2018-04-22T09:29:19Z;6264086;Sun;Apr;22;09.29.19;2018;new data wrangling;1c6db8a3946258e1aba88fb7a9793068d498b132;NA;1
eppofahmi;wrangling twit gojek;2018-04-22T10:26:49Z;ccf23f4;Sun;Apr;22;10.26.49;2018;wrangling twit gojek;62640867039033085ee6b3794e195b049d98e27a;NA;1
eppofahmi;some notes;2018-04-22T10:33:11Z;7f992f7;Sun;Apr;22;10.33.11;2018;some notes;ccf23f4d70959baa17b57539b206cf0cad1e2565;NA;1
eppofahmi;del;2018-04-22T11:37:33Z;de4c98c;Sun;Apr;22;11.37.33;2018;del;7f992f75e1c77aedda7f34fc620d424520770c6e;NA;1
eppofahmi;del again;2018-04-22T11:39:29Z;c3744b3;Sun;Apr;22;11.39.29;2018;del again;de4c98c4d6c138f47e6223df009f55f0280c74fd;NA;1
eppofahmi;new file;2018-04-22T11:40:01Z;0b28581;Sun;Apr;22;11.40.01;2018;new file;c3744b3b4efe9cbb197c8c02542966e0dbc70e75;NA;1
eppofahmi;yes;2018-04-22T11:44:05Z;a19aeef;Sun;Apr;22;11.44.05;2018;yes;0b2858104af9024c5b18ff876926280976dc3cd9;NA;1
eppofahmi;tfidf;2018-04-22T16:52:19Z;29ecb24;Sun;Apr;22;16.52.19;2018;tfidf;a19aeef29820067aea937b7b3f6b1cb893a35c23;NA;1
eppofahmi;sem net;2018-04-23T00:25:44Z;04d9cc5;Mon;Apr;23;00.25.44;2018;sem net;29ecb244e15de3cd9ce8d83a0e7f9c5a18eb3798;NA;1
eppofahmi;topic modelling;2018-04-23T10:52:30Z;5cc0d55;Mon;Apr;23;10.52.30;2018;topic modelling;04d9cc56c5b883c81809a00c5d6338797bbbf6f3;NA;1
eppofahmi;keterangan;2018-04-23T12:11:52Z;9826335;Mon;Apr;23;12.11.52;2018;keterangan;5cc0d556ba0b491f08ff4f018a8fa8f342c58cf7;NA;1
eppofahmi;2nd data exploration;2018-04-23T14:01:05Z;e52dadf;Mon;Apr;23;14.01.05;2018;2nd data exploration;9826335ca0263810cf55f9b6198451a674285e89;NA;1
