ad
ada
adalah
adanya
adapun
agak
agaknya
agar
ah
akan
akankah
akhir
akhiri
akhirnya
aku
akulah
amat
amatlah
ami
amp
anda
andalah
antar
antara
antaranya
ap
apa
apaan
apabila
apakah
apalagi
apatah
artinya
asal
asalkan
atas
atau
ataukah
ataupun
atr
awal
awalnya
ayo
b
ba
bagai
bagaikan
bagaimana
bagaimanakah
bagaimanapun
bagi
bagian
bahkan
bahwa
bahwasanya
baik
bakal
bakalan
balik
banyak
bapak
baru
bawah
bdf
beberapa
begini
beginian
beginikah
beginilah
begitu
begitukah
begitulah
begitupun
bekerja
belakang
belakangan
belum
belumlah
benar
benarkah
benarlah
ber
berada
berakhir
berakhirlah
berakhirnya
berapa
berapakah
berapalah
berapapun
berarti
berawal
berbagai
berdatangan
beri
berikan
berikut
berikutnya
berjumlah
berkali-kali
berkata
berkehendak
berkeinginan
berkenaan
berlainan
berlalu
berlangsung
berlebihan
bermacam
bermacam-macam
bermaksud
bermula
bersama
bersama-sama
bersiap
bersiap-siap
bertanya
bertanya-tanya
berturut
berturut-turut
bertutur
berujar
berupa
besar
betul
betulkah
biasa
biasanya
bila
bilakah
bisa
bisakah
ble
boleh
bolehkah
bolehlah
bp
btr
buat
bukan
bukankah
bukanlah
bukannya
bulan
bung
c
cara
caranya
cd
cg
ci
cont
cra
cukup
cukupkah
cukuplah
cuma
d
da
dahulu
dalam
dan
dapat
dari
daripada
datang
de
dekat
demi
demikian
demikianlah
dengan
depan
dh
dhe
di
dia
diakhiri
diakhirinya
dialah
diantara
diantaranya
diberi
diberikan
diberikannya
dibuat
dibuatnya
didapat
didatangkan
digunakan
diibaratkan
diibaratkannya
diingat
diingatkan
diinginkan
dijawab
dijelaskan
dijelaskannya
dikarenakan
dikatakan
dikatakannya
dikerjakan
diketahui
diketahuinya
dikira
dilakukan
dilalui
dilihat
dimaksud
dimaksudkan
dimaksudkannya
dimaksudnya
diminta
dimintai
dimisalkan
dimulai
dimulailah
dimulainya
dimungkinkan
dini
dipastikan
diperbuat
diperbuatnya
dipergunakan
diperkirakan
diperlihatkan
diperlukan
diperlukannya
dipersoalkan
dipertanyakan
dipunyai
diri
dirinya
disampaikan
disebut
disebutkan
disebutkannya
disini
disinilah
ditambahkan
ditandaskan
ditanya
ditanyai
ditanyakan
ditegaskan
ditujukan
ditunjuk
ditunjuki
ditunjukkan
ditunjukkannya
ditunjuknya
dituturkan
dituturkannya
diucapkan
diucapkannya
diungkapkan
dn
dong
ds
dua
dulu
e
empat
enggak
enggaknya
entah
entahlah
f
fs
g
ge
guna
gunakan
h
haha
hal
hampir
hanya
hanyalah
hari
harus
haruslah
harusnya
hendak
hendaklah
hendaknya
hingga
hio
ho
hr
hrc
ia
ialah
ibarat
ibaratkan
ibaratnya
ibu
idst
igp
ii
iii
ije
ikut
im
ingat
ingat-ingat
ingin
inginkah
inginkan
ini
inikah
inilah
ir
itu
itukah
itulah
iv
j
jadi
jadilah
jadinya
jah
jangan
jangankan
janganlah
jauh
jawab
jawaban
jawabnya
je
jeg
jelas
jelaskan
jelaslah
jelasnya
jhon
jika
jikalau
jm
jt
juga
jumlah
jumlahnya
jun
justru
k
kala
kalau
kalaulah
kalaupun
kalian
kami
kamilah
kamu
kamulah
kan
kapan
kapankah
kapanpun
karena
karenanya
kasus
kata
katakan
katakanlah
katanya
ke
keadaan
kebetulan
kecil
kedua
keduanya
keinginan
kelamaan
kelan
kelihatan
kelihatannya
kelima
keluar
kembali
kemudian
kemungkinan
kemungkinannya
kenapa
kepada
kepadanya
kesampaian
keseluruhan
keseluruhannya
keterlaluan
ketika
khususnya
ki
kimpul
kini
kinilah
kira
kira-kira
