date,tweets,periode
2016-08-28,"Di Sanur Village Festival , sebelumnya relawan @ForBALI13 memeriahkan ogoh2  #BaliTolakReklamasi , malamnya dipanggung seni pekik BTR bergolak",periode_3
2016-08-28,"Semalam seru , gema #BaliTolakReklamasi berkumandang di 2 tempat . 1 ) Sanur Village Festival & 2 ) Legian Beach Festival .",periode_3
2016-08-28,Penutupan Sanur Village Festival dgn Ogoh -Ogoh o / Barisan #BaliTolakReklamasi dr Leak Sanur . Kreatifkan ? @forbali13,periode_3
2016-08-03,Perempuan yang bersemangat menemani anaknya berjuang . Perjuangan #BaliTolakReklamasi tak kenal batas usia .,periode_3
2016-08-03,Ini suasana aksi #BaliTolakReklamasi . Seorang bapak memegang megaphone sambil ngajak anaknya . Ini namanya totalitas !,periode_3
2016-08-03,Pd aksi #BaliTolakReklamasi (31 juli 16 ) longmarch 2 km loh . Liat ekpresi perempuan ini ? Penuh semangat & keikhlasan,periode_3
2016-08-03,"Liat smangat Ibu ini dg 2 anakny . Eit jgn salah ,mrk sdh ikut aksi #BaliTolakReklamasi dr 4 th lalu cc @walhinasional",periode_3
2016-08-03,Liat keluarga ini . Mrk sll hadir dlm aksi2 #BaliTolakReklamasi . Mrk rela wkt pikniknya tuk brjuang cc @walhinasional,periode_3
2016-08-03,Aksi2 #BaliTolakReklamasi selalu diikuti byk keluarga . Gerakan ini sdh masuk ke ranah  paling intim yakni keluarga !,periode_3
2016-08-02,"Mrk yg lapar saat aksi tolak reklamasi . Dg duit sndiri beli lumpia . Eit ,pakaianny jg duit sndiri #BaliTolakReklamasi",periode_3
2016-02-15,Pamflet #BaliTolakReklamasi dr @ForBALI13 menghiasi papan2 informasi kampus UIN Jakarta cc @bem_kbmpnb @BEM_UNHI,periode_3
2016-02-10,Itulah orang2 kreatif dan bernurani . Dimana dan kapan saja selalu bw pesan #BaliTolakReklamasi cc @susipudjiastuti,periode_3
2017-02-11,Bebaskan kawan kami I Made Joniantara alias De John & I Gusti Dharmawijaya alias Gung Omled @gendovara @DivHumasPolri #BaliTolakReklamasi,periode_3
2017-01-07,"Malam ini konser mini #BaliTolakReklamasi di wantilan desa adat Kelan . Datang , berjuang dan berdendang . #BerlawanDenganRiangGembira",periode_3
2013-09-04,@GoesEka67 @Radic_co #BaliTolakReklamasi sama2 bro . Maaf kalo ga sempet ngobrol :),periode_1
2013-09-02,Eitttt ada @ardha_neraka n boker #baliTolakReklamasi,periode_1
2013-08-28,"""@Dirty13_cloth : Mari kita semangati orang -orang ini <c2><bb> @gendovara @JRX_SID @WalhiBali selamatkan Bali dan Negeri ini . #BaliTolakReklamasi """,periode_1
2013-11-07,Bang @iwanfals  MEnolak Reklamasi Teluk BEnoa Bali  #balitolakreklamasi,periode_1
2013-10-01,@JRX_SID @forbali13 salam solidaritas buat  @GlennFredly bro . semoga gelora perjuangan semakin bergema :) #BaliTolakReklamasi,periode_1
2013-12-24,"Cak @AHMADDHANIPRAST jika ada waktu luang , mohon buka website gerakan #BaliTolakReklamasi Teluk Benoa :",periode_1
2014-06-27,"Cc @dendisandinatha ""@gedeamstrong : Thx untuk aksinya tdi @forbali13 @sid_official #BaliTolakReklamasi",periode_2
2014-06-27,"Cc @dendisandinatha ""@forbali13 : Baleganjur nya udah siap nii .. #BatalkanPerpreslimasatuthbjad #BaliTolakReklamasi",periode_2
2014-06-27,"Palingan si koran abal2  ""@RMBLrafa : Masih adakah yang bilang ini puluhan ?!
#BaliTolakReklamasi @forbali13 @JRX_SID",periode_2
2014-06-27,"Cc @dendisandinatha ""@SemaraAgung : Turun ke jalan @forbali13 #BaliTolakReklamasi #BatalkanPerpreslimasatuthbjad",periode_2
2014-06-26,"Dahsyat ""@forbali13 : Dr Negara menolak reklamasi ,bw puisi titipan ibuny #BaliTolakReklamasi #BatalkanPerpreslimasatuthbjad",periode_2
2014-06-26,"Dahsyat !!""@forbali13 : @robinavicula di tengah barisan #BatalkanPerpreslimasatuthbjad #BaliTolakReklamasi",periode_2
2014-06-26,Kekuasaan saat ini selalu berusaha benturkan masyarakat sipil dgn sipil .jgn terpancing dan terprovokasi .Tetap aksi damai #balitolakreklamasi,periode_2
2014-06-22,"""@VikoWolo999 : Lagu #BaliTolakReklamasi @gendovara @forbali13  cc @TopanFreeman @KomarClash @Moko_Ke @CopokTBH",periode_2
2014-06-21,Dalam hormat u / kawan2 @outsiderbdg yg gelar aksi #batalkanperpreslimasatuthbjad di Bandung . moga @SBYudhoyono ga tuli n buta . #balitolakreklamasi,periode_2
2014-06-21,"Bali tolak reklamasi bergema di Bandung .Biar penguasa tau gerakan ini menasional ""@outsidersBDG : #baliTolakReklamasi",periode_2
2014-06-19,@SID_Official Thx atas persembahan kalian u / gerakan #balitolakreklamasi di AMI award cc @JRX_SID @BOBBYBIKUL @baliekarock @SoundbwoyDodix,periode_2
2014-06-17,anda menyebut kami segelintir ? ehm kami ada ribuan #batalkanperpreslimasatuthbjad #balitolakreklamasi --->,periode_2
2014-06-17,"Cc @dendisandinatha @madebayak ""@xRMBLx : Pemain tabuh lokal . #BatalkanPerpreslimasatuthbjad #BaliTolakReklamasi",periode_2
2014-06-16,"@iwanfals ""ternyata kita harus ke jalan , robohkan perpres yg berdiri mengangkang "" #batalkanPerpreslimasatuthbjad #balitolakreklamasi teluk benoa",periode_2
2014-06-12,"Cc @KOMPOLNAS cc @komnasham ""@bobbyalcoholic : Krn alasan @SBYudhoyono mau lwt baliho #BaliTolakReklamasi kami dibongkar ,bpk2 intimidasi kami",periode_2
2014-06-10,"""@VikoWolo999 : @JRX_SID @gendovara @forbali13 #BaliTolakReklamasi",periode_2
2014-02-20,Menunggu foto @valdyabara berkaos #balitolakreklamasi,periode_1
2014-01-29,Kedatangan mereka ; @bobi_marjinal @MIKE_MARJINAL memberi tambahan tarikan nafas perlawanan . #baliTolakReklamasi,periode_1
2014-08-30,"@jokowi_do2 ""@mariustimothy : #BaliTolakReklamasi #BatalkanPerpreslimasatuthbjad #JokoWillSaveBali cc : @forbali13 @JRX_SID",periode_2
2014-08-30,"Cc @juliaperrez ""@antonemus : reklamasi teluk benoa rentan bikin kebanjiran . ini hasil risetnya . #BaliTolakReklamasi",periode_2
2014-08-30,"Cc @jokowi_do2 ""@antonemus : reklamasi teluk benoa membuat bali selatan kebanjiran . ini risetnya . #BaliTolakReklamasi",periode_2
2014-08-28,"Top ""@DediDiatmika :Seminyak bergerak ! Tolak Reklamasi Teluk Benoa #balitolakreklamasi @JRX_SID @gendovara @forbali13",periode_2
2014-08-27,"Trims supportnya bro ""@DBogsRidwan : Mantaff bro @gendovara at @KompasTV #BaliTolakReklamasi """,periode_2
2014-08-26,"#JokoWillSaveBali ""@rambobuda : Atur pejati ,Jek acep nasne atman jeleme  rakus "" jak ane ngusak baliho #BaliTolakReklamasi ring hyang BARUNA",periode_2
2014-08-25,Teman2 mari teriakan #balitolakreklamasi dan setiap twit mari kita isi dgn #JokoWillSaveBali . Kasitau pak @jokowi_do2 alm bali terancam,periode_2
2014-08-25,@jokowi_do2 kedatangan bpk ke Bali sgt istimewa .mk baliho kami dirobek agar bpk tdk dengar suara  #balitolakreklamasi #JokoWillSaveBali,periode_2
2014-08-22,Mbak @juliaperrez jika berkenan mbak bisa cek  atau search gerakan #BaliTolakReklamasi . Bisa cek di youtube jg . ;),periode_2
2014-08-19,"Bukan untuk rakyat ""@bobbyalcoholic : @gendovara Reklamasi untuk siapa ?  #BatalkanPerpreslimasatuthbjad #BaliTolakReklamasi """,periode_2
2014-08-08,Hormatku bt Jelantik dr Jembrana . Pagi2 ke dps demi ikut #balitolakreklamasi . Abis aksi ke @WALHIBali ngopi bentar .trus lg balik ke jembrana,periode_2
2014-08-08,"Inilah gerakan rakyat . Rakyat melawan , rakyat yg kuasa atas negri ini . Mari terus berjuang #BatalkanPerpresNolimasatuThbjad #BaliTolakReklamasi",periode_2
2014-08-08,"Td tak kira peyut :p ""@Lightning_venus : ini bkn mksd ngasi pantat ..maap @gendovara lop lop  #BaliTolakReklamasi",periode_2
2014-08-08,Terimakasih bt kawan2 dr Tabanan telah hadir pd aksi #balitolakreklamasi hari ini . Solidaritas U / Bali . #BatalkanPerpreslimasatuthbjad,periode_2
2014-08-08,Terimakasih bt pemuda2 dr Bali Barat (Negare ) tlh hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad . hati2 di jalan,periode_2
2014-08-08,Trims @HMPEFH_UNUD  hadir pd aksi #balitolakreklamasi hari ini .moga makin byk mhs yg bergabung dlm gerakan rakyat #BatalkanPerpreslimasatuthbjad,periode_2
2014-08-08,"Thx BEM UNHI , @Frontier_Bali @PPMIBali hari ini pimpin aksi .Kalian organ mahasiswa progresif #balitolakreklamasi #BatalkanPerpreslimasatuthbjad",periode_2
2014-08-07,Trims bt semua kawan2 yg hadir walopun harus tinggalkan pekerjaan demi aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2
2014-08-07,Terimakasih bt pemuda sanur tolak reklamasi telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2
2014-08-07,"Trims bt seniman melelawangan barong , guru besar Yankpung telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad cc",periode_2
2014-08-07,Terimakasih @luizvanghigox @NosstressBali @DwixNaskleeng  telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2
2014-08-07,Terimakasih bt musisi seniman @BOBBYBIKUL @JunBintang @novafuxnbumz hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2
2014-08-07,Terimakasih bt @OsdSouthkuta @OSD_BALI  telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2
2014-08-07,Terimakasih bt @outsider_bukit @OSD_NUSAPENIDA @OSD_KARANGASEM  telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2
2014-08-07,Terimakasih bt Pemuda Sukawati Tolak reklamasi telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad tetap semangat !,periode_2
2014-08-07,Terimakasih bt ST . Yowana Satya Dharma br .Bukit Buwung kesiman telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2
2014-08-07,Terimakasih ST Dharma Kertih br . Kedaton kesiman denpasar telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad cc,periode_2
2014-08-07,Thx STT Panca Dharma br . Tegal buah padangsambian klod tlh hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad cc @Wock13,periode_2
2014-08-07,Terimakasih bt kawan dr Suwung Denpasar  telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad cc @AlcoholicRider,periode_2
2014-08-07,Terimakasih bt Jalak Sidakarya n Allpiss Sidakarya telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad cc,periode_2
2014-08-07,Trims STT Dharma Sentana br Anyar Gede kedonganan  hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad cc @angga_sugama,periode_2
2014-08-07,Terimakasih bt Tanjung Benoa Tolak Reklamasi (TBTR )  telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2
2014-08-07,Terimakasih buat Masy Jimbaran tolak reklamasi (MAKAR ) telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2
2014-08-07,Terimakasih bagi FPPB Kedonganan Badung telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad cc @teguhkings,periode_2
2014-08-07,Terimakasih bt DESA ADAT KELAN BADUNG telah hadir pd aksi #balitolakreklamasi hari ini .  #BatalkanPerpreslimasatuthbjad,periode_2
2014-08-04,"Blm tentu .jgn gembira dulu . Ini manuver cuci tangan ""@Deddy_DaSilva : @forbali13 @JRX_SID
#BaliTolakReklamasi",periode_2
2014-08-03,Dukungan @kurawa ke gerakan #balitolakreklamasi memberikan energi yg luar biasa . Demikian jg @addiems . Ayo kawan2 kobarkan semangat juangnya,periode_2
2014-08-03,"Noted ""@kurawa : Bali .. ada satu lagi budayawan yang support neh catet !!! ~> ""@addiems : Kultwit kurawa soal #BaliTolakReklamasi patut disimak",periode_2
2014-08-02,"Hayo jawab tweps . Cc kan ke @SBYudhoyono n @jokowi_do2 ""@menarafmbali : Apa Alasan Kamu Mendukung #BaliTolakReklamasi ? Tulis Disini !""",periode_2
2014-08-02,"Cc @SBYudhoyono @Yusrilihza_Mhd ""@WIRAxADI : Karena kami sayang bali . Imbo street custom bike .#BaliTolakReklamasi !",periode_2
2014-07-31,@arissperdana mari gerakan #balitolakreklamasi harus bertranformasi menjadi #indonesiaTolak Reklamasi .,periode_2
2014-07-27,"Iya pak . Sy anak yg baik :D ""@ERX_BASTARD : Akkhirnya bapak n anak di pertemukan terus tiap aksi #BaliTolakReklamasi",periode_2
2014-07-24,"Sebagian aksi2 yg dilakukan di Luar Bali ,ayo siapa menyusul . Lawan kezaliman . #BaliTolakReklamasi Teluk Benoa",periode_2
2014-07-20,"Top ""@erickest : Orang jahat tidak Akan menang , karna orang baik Akan terus berdatangan #BaliTolakReklamasi",periode_2
2014-07-18,"Jk msh mau dibodohi penguasa , silakan percaya dg propaganda mrk yg sll nuding gerakan #balitolakreklamasi tidak murni sbg perjuangan ekologi",periode_2
2014-07-18,"Jk kalian percaya dg hasutan penguasa bhw gerakan #balitolakreklamasi tidak murni memperjuangkan ekologi , itu mmbuat penguasa senang",periode_2
2014-07-18,Hanya mereka yg otaknya kospiratif yg percaya gerakan #balitolakreklamasi ditunggangi politik kekuasaan . Mereka cetek !,periode_2
2014-07-17,Nonton komunitas perkusi di redaksi trans7 ternyata ada pemainbya yg pake kaos #balitolakreklamasi . Thx yg bro,periode_2
2014-07-14,"Eh colek lg @Yusrilihza_Mhd sekalian minta share pendapat hukumnya ubah perpres 45 /2011 ""@xRMBLx : #BaliTolakReklamasi",periode_2
2014-07-12,"Nope , just kucing asia ""@Lightning_venus : Latepost , monkey in the middle . @gendovara & @JRX_SID #BaliTolakReklamasi",periode_2
2014-12-13,"#bergerak ""@delta_nocil : Saat ini #LampungForBali menyuarakan #BaliTolakReklamasi cc  @JRX_SID @SoundbwoyDodix",periode_3
2014-12-02,"""@panji_sudarsa : Iseng -iseng ni bli , dari Mataram , Lombok ;) #BaliTolakReklamasi @JRX_SID @gendovara @ForBALI13",periode_3
2014-11-28,"Cc @fajar_arcana ""@AngusBalinese : Bravo & Proud of You Tim Gowes DPS -JKT mission #BaliTolakReklamasi | @jokowi_do2",periode_3
2014-11-28,"Cc @walhinasional ""@AngusBalinese : Bravo & Proud of You Tim Gowes DPS -JKT mission #BaliTolakReklamasi |  @jokowi_do2",periode_3
2014-10-16,"Cc @jokowi_do2 ""@brianoutsider_n : bojonegoro juga tolak reklamasi
#dari_bjn_untuk_bali #balitolakreklamasi @JRX_SID",periode_3
2014-10-14,"""@AngusBalinese : Prestasi @SBYudhoyono adlh Perpreslimasatu /bjad dgn iklan Ronaldo #KopdarCelamitan |  #BaliTolakReklamasi",periode_3
2014-10-12,"Keren . Bisa mesen 1 ga ""@KadekSujana08 : #BaliTolakReklamasi karya : @AgusKunic @ForBALI13 @gendovara @JRX_SID @",periode_3
2014-10-08,"@kurawa  baca ini ya ""@RzqAngga : .@SBYudhoyono Parno Melihat Baliho #BaliTolakReklamasi by @gendovara - Chirpstory",periode_3
2014-10-07,"Met ultah jg ya ""@Tonio_Ariandro : @jrx_sid @addiems @gendovara Saya Juga Ultah Hari Ini Bli :D #BaliTolakReklamasi """,periode_3
2014-10-07,"""@OSD_KARANGASEM : @gendovara HBD Pak Yan Semoga Tambah Panjang Umur n Selalu Dalam Lindungan Tuhan Yang Maha Esa .Tetap #BaliTolakReklamasi",periode_3
2014-10-07,"Trims yas ""@sarasdewi : Dirgahayu Bli ... @gendovara ^.^  #BaliTolakReklamasi """,periode_3
2014-10-07,"Pasti dan selalu !;""@Aji_TheBilly : HBD @gendovara , semoga masih konsisten dan enggan diimingi jabatan :) #BaliTolakReklamasi """,periode_3
2014-10-07,"Mboknjegeg . Trims ""@mariaekaristi : @gendovara HBD Bro . Terus maju #BaliTolakReklamasi """,periode_3
2014-10-07,"Trims sobat terkerenku ""@DBogsRidwan : HBD bro @gendovara , Dirgahayu ! #BaliTolakReklamasi """,periode_3
2014-10-07,"#tolakReklamasiTelukBenoa ""@Vannpostman : slamat ulang tahun om @gendovara keep struggle #BaliTolakReklamasi """,periode_3
2014-10-07,"""@Rotbirbilly : Beerthday @gendovara semoga sehat selalu tetap menginjak bumi dan menyuarakan #BaliTolakReklamasi """,periode_3
2014-10-07,"#tolakReklamasiTelukBenoa ""@pran_nature : Rahajeng wanti warsa pak wayan @gendovara #BaliTolakReklamasi """,periode_3
2014-10-07,"Thx ""@UsamBinZed : Selamat Ulang Tahun om @gendovara panjang umur sehat selalu ,tetap semangat komando kan #BaliTolakReklamasi ,salam !""",periode_3
2014-10-07,"Siap brother ""@agustinuspoltak : HBD @gendovara #BaliTolakReklamasi """,periode_3
2014-10-06,"Cc @jokowi_do2 ""@inyomen : bedugul jg #balitolakreklamasi , pemasangnya berdoa agar bali lolos dr investor rakus",periode_3
2014-10-03,"Cc @jokowi_do2 ""@POISON_AND_ROSE : Baliho @poison_and_rose #balitolakreklamasi siap berdiri tegak malam ini",periode_3
2014-09-22,"Cc @jokowi_do2 ""@BDG_IRman : Cc : @JRX_SID @8rianna_ ""@voldytalkabout From segara anak for #BaliTolakReklamasi",periode_3
2014-09-21,"Brotha thx lu supoort ya . Ga nyangka ""@sinungkarto : @gendovara ini yg tersisa dari #CFD #Jkt krmn
#BaliTolakReklamasi",periode_3
2014-09-21,"Cc @jokowi_do2 ""@Randi_OSD : #BaliTolakReklamasi dari jakarta untuk bali !! :) @ForBALI13 @JRX_SID @sarasdewi  :)))",periode_3
2014-09-21,"Cc @jokowi_do2 ""@outsider_bukit : Labuan sait desa pecatu #Bergerak ! #balitolakreklamasi . Cc @ForBALI13 @SID_Official",periode_3
2014-09-20,"Cc @jokowi_do2 ""@DjaluDp_: ""@ivonalifu : #BaliTolakReklamasi @ForBALI13 @gendovara @sarasdewi @JRX_SID",periode_3
2014-09-20,"Cc @jokowi_do2 ""@ivonalifu : #BaliTolakReklamasi @ForBALI13 @gendovara @sarasdewi @JRX_SID",periode_3
2014-09-17,"Cc @jokowi_do2 ""@Poppies_Jember : Dari Jember U / Bali #balitolakreklamasi @JRX_SID @ForBALI13 @baliekarock @8rianna_",periode_3
2014-09-17,"Thx supportnya sista ""@melaniesubono : Ngamenan donasi #BaliTolakReklamasi masih jalan @JRX_SID @ForBALI13",periode_3
2014-09-17,"Cc @jokowi_do2 ""@donxnay : Dr puncak mega Gn puntang Kab . Bandung ! Saya menyuarakan #BaliTolakReklamasi @gendovara",periode_3
2014-09-15,"Cc @jokowi_do2 ""@syamsulalamagus : ""@ulinyusron : 8 dusta revitalisasi Teluk Benoa #BaliTolakReklamasi  @gendovara",periode_3
2014-09-15,"Cc @jokowi_do2 ""@leakBALI_: siang ini saya disambut dengan baliho #balitolakreklamasi didepan seminyak square",periode_3
2014-09-14,"Cc @jokowi_do2 ""@dodysubur : Baliho #BaliTolakReklamasi sudah trpasang Megah di depan LP Kerobokan , Ayo bergerak .",periode_3
2014-09-14,"Cc @jokowi_do2 ""@dodysubur : Persiapan Masang Baliho #BaliTolakReklamasi #BatalkanPerpreslimasatuthbjad @ForBALI13",periode_3
2014-09-12,"Cc @jokowi_do2 ""@OSD_GIANYAR : Sudah berdiri gagah di Br .Suwat Gianyar Bali   @PemkabGianyar #BaliTolakReklamasi """,periode_3
2014-09-09,"Cc @jokowi_do2 ""@esa_bhaskara : Forum Pemuda Belayu Bersatu , Tabanan juga ikut mendukung #BaliTolakReklamasi @JRX_SID",periode_3
2014-09-09,"Cc @jokowi_do2 ""@Hendra_mk2 : Hari ini pemuda renon akan mendirikan baliho #BaliTolakReklamasi @ForBALI13 @JRX_SID",periode_3
2014-09-09,"Cc @jokowi_do2 ""@AnakKampungBali :  br . Meranggi desa Pandak Bandung Tabnan #BaliTolakReklamasi @ForBALI13 @JRX_SID",periode_3
2014-09-07,"Cc @jokowi_do2  lihat pak ""@kobinrockabye : #BaliTolakReklamasi #batalkanperpresnolimasatuthbjad @ForBALI13 @gendovara",periode_3
2013-07-26,"Di venue #BaliNotForSale ""@Radic_co : @NosstressBali @gunakupit angga @tjokordabagus kaos untuk kalian sudah ada di venue , silakan pake . :D """,periode_1
2013-07-26,"Kebebasan u / perempuan ""occupy freedom "" desain baru dr @Radic_co u female . Ada di lapak #BaliNotForSale cc @JRX_SID",periode_1
2013-07-26,@JRX_SID @ludenhouseNFS @UtunkMilanisti dan kaos baru dr @Radic_co dijual disana . kaos for sale but #BaliNotForSale,periode_1
2013-07-24,"Pesisir dlm kondisi terancam , mangrove jg terancam . Gubernur yg baik mestinya selamatkan hal it  #BaliNotForSale cc @naviculamusic @JRX_SID",periode_1
2013-07-24,"Jika gubernur menyatakan bahwa reklamasi bagus krn menekan alih fungsi sawah , maka itu logika sesat . #BaliNotForSale . Cc @naviculamusic",periode_1
2013-07-24,"Jika demikian ,maka #BaliNotForSale bukan hanya sebatas sawah ,krn laut n pesisir , gungung n sungai terancam dijual cc @naviculamusic @JRX_SID",periode_1
2013-07-24,"Jk direklamasi ,mk slm 50 th warga tanjung benoa akn khilangan sumber pnghidupan ""mekakarang "" di teluk benoa  #BaliNotForSale cc @JRX_SID",periode_1
2013-07-24,"Memberikn hak ""penguasaan "" slm50 th kpd investor setara dgn menggadaikan sumber hidup nelayan #BaliNotForSale cc @JRX_SID @naviculamusic",periode_1
2013-07-24,"Reklamasi teluk benoa adalah bukti betapa penguasa sedemikian murah menjual Bali , bukan hanya sejengkal tp 838 ha . #BaliNotForSale @JRX_SID",periode_1
2013-07-02,@bogbogcartoon @jangopramartha @JRX_SID #BaliNotForSale ehmmm permintaan sy blom direspon nih :) *ituloh kartun mangrove ada sarung tinju *,periode_1
2013-07-02,"Aseeekkkk cc @kurangbelajar :) ""@JRX_SID : @gendovara bro Radic buka stand nanti pas #BaliNotForSale ya :)""",periode_1
